"","x"
"1",177.16
"2",176.52
"3",171.96
"4",162.41
"5",168.26
"6",165.43
"7",175.6
"8",173.84
"9",171.58
"10",172.27
"11",163.11
"12",168.68
"13",166.16
"14",169.16
"15",165.82
"16",181.57
"17",172.83
"18",168.56
"19",176.43
"20",167.75
"21",170.36
"22",163.99
"23",172.48
"24",172.2
"25",181.18
"26",171.39
"27",167.88
"28",161.07
"29",159.76
"30",174.35
"31",164.55
"32",168.85
"33",170.49
"34",174.07
"35",176.87
"36",170.95
"37",167.99
"38",175.45
"39",165.93
"40",165.01
"41",176.77
"42",175.98
"43",170.99
"44",166.54
"45",167.46
"46",173.05
"47",177.26
"48",169.19
"49",177.22
"50",181.2
"51",171.47
"52",178.09
"53",168.75
"54",171.46
"55",181.99
"56",169.69
"57",164.16
"58",182.61
"59",172.99
"60",178.95
"61",172.52
"62",178.69
"63",174.11
"64",172.28
"65",172.77
"66",168.24
"67",161.17
"68",178.1
"69",174.81
"70",171.41
"71",168.1
"72",176.9
"73",178.81
"74",184.97
"75",172.93
"76",164.07
"77",170.83
"78",167.67
"79",171.32
"80",178.19
"81",177.73
"82",172.11
"83",167.8
"84",178.94
"85",167.91
"86",162.37
"87",177.4
"88",174
"89",169.93
"90",174.91
"91",177.66
"92",172.72
"93",167.32
"94",171.79
"95",169.83
"96",181.03
"97",176.52
"98",172.69
"99",174.73
"100",175.86
"101",169.83
"102",168.72
"103",168.58
"104",169.19
"105",161.09
"106",175.55
"107",168.75
"108",168.83
"109",162.26
"110",170.21
"111",167.6
"112",177.63
"113",169
"114",178.14
"115",176.1
"116",169.67
"117",178.72
"118",171.05
"119",167.52
"120",175.36
"121",184.31
"122",170.57
"123",173.1
"124",173.25
"125",167.24
"126",160.22
"127",167.56
"128",174.47
"129",180.36
"130",166.83
"131",179.77
"132",171.86
"133",169.3
"134",174.13
"135",166.78
"136",170.63
"137",162.35
"138",163.48
"139",170.66
"140",177.53
"141",173.84
"142",175.78
"143",174.38
"144",160.6
"145",170.23
"146",164.4
"147",174.38
"148",180.02
"149",175.29
"150",166.73
"151",168.7
"152",181.21
"153",169.61
"154",160.79
"155",175.25
"156",162.65
"157",168.43
"158",173.31
"159",172.91
"160",167.27
"161",173.42
"162",171.5
"163",175.12
"164",178.9
"165",168.63
"166",170.57
"167",180.95
"168",173.37
"169",181.94
"170",172.62
"171",176.92
"172",169.76
"173",172.31
"174",175.61
"175",171.94
"176",174.65
"177",169.36
"178",177
"179",166.47
"180",159.63
"181",177.11
"182",180.32
"183",172.09
"184",172.36
"185",172.56
"186",186.97
"187",177.94
"188",171.71
"189",172.55
"190",175.12
"191",167
"192",180.58
"193",172.62
"194",170.63
"195",186.9
"196",176.45
"197",167.73
"198",167.91
"199",168.64
"200",173.57
"201",171.73
"202",175.16
"203",176.26
"204",170.92
"205",169.22
"206",180.96
"207",175.17
"208",166.24
"209",172.39
"210",165.36
"211",181.12
"212",170.9
"213",166.38
"214",172.79
"215",174.4
"216",174.1
"217",175.33
"218",186.25
"219",165.41
"220",175.92
"221",160.74
"222",172.71
"223",172.95
"224",175.43
"225",166.81
"226",172.57
"227",174.45
"228",173.74
"229",179.13
"230",175.56
"231",173.12
"232",166.71
"233",171.72
"234",167.7
"235",166.93
"236",173.64
"237",164.11
"238",172.21
"239",168.05
"240",172.3
"241",170.98
"242",170.72
"243",165.81
"244",171.84
"245",170.47
"246",171.62
"247",177.76
"248",158.24
"249",178.43
"250",175.23
"251",168.25
"252",174.65
"253",175.03
"254",160.38
"255",175.47
"256",164.74
"257",170.96
"258",174.95
"259",164.71
"260",178.2
"261",172.09
"262",164.63
"263",166.59
"264",169.92
"265",177.86
"266",168.75
"267",164.24
"268",179.8
"269",172.36
"270",176.51
"271",163.89
"272",173.73
"273",172.18
"274",171.27
"275",168.43
"276",176.2
"277",177.89
"278",176.95
"279",168.76
"280",173.41
"281",170.47
"282",177.8
"283",179.59
"284",175.59
"285",173.17
"286",171.5
"287",163.42
"288",165.71
"289",167.66
"290",178.7
"291",168.99
"292",166.88
"293",175.23
"294",166.87
"295",173.12
"296",170.78
"297",166.37
"298",169.5
"299",170.75
"300",160.66
"301",170.1
"302",174.15
"303",167.16
"304",172.35
"305",177.14
"306",164.1
"307",171.64
"308",167.96
"309",164.92
"310",166.48
"311",174.17
"312",169.13
"313",166.07
"314",173.68
"315",165.06
"316",172.83
"317",178.95
"318",170.88
"319",167.54
"320",179.3
"321",184.94
"322",170.6
"323",176.2
"324",167.14
"325",170.66
"326",167.06
"327",173.07
"328",173.44
"329",174.13
"330",181.55
"331",168.45
"332",174.83
"333",172.03
"334",183.47
"335",165.85
"336",169.84
"337",174.85
"338",166.05
"339",164.62
"340",174.59
"341",181.43
"342",169.69
"343",169.73
"344",170.45
"345",168.02
"346",169.13
"347",175.92
"348",172.12
"349",166.45
"350",169.08
"351",168.7
"352",168.11
"353",177.47
"354",168.32
"355",176.89
"356",183.3
"357",173.77
"358",171.01
"359",167.79
"360",174.18
"361",162.67
"362",168.95
"363",167.23
"364",180.19
"365",174.31
"366",164.17
"367",169.12
"368",175.04
"369",172.02
"370",171.55
"371",162.91
"372",175.99
"373",162.51
"374",168.54
"375",182.93
"376",178.18
"377",177.87
"378",164.8
"379",177.25
"380",179.3
"381",164.57
"382",162.16
"383",168.71
"384",177.16
"385",170.89
"386",162.69
"387",173.39
"388",166.93
"389",175.73
"390",175.68
"391",180.4
"392",168.54
"393",163.96
"394",170.63
"395",167.17
"396",168.84
"397",174.59
"398",170.5
"399",177.1
"400",170.66
"401",170.35
"402",176.7
"403",185.25
"404",174.22
"405",175.67
"406",171.94
"407",171.93
"408",162.47
"409",169.81
"410",179.65
"411",171.33
"412",170.49
"413",171.14
"414",179.87
"415",175.35
"416",169.95
"417",171.1
"418",171.13
"419",162.09
"420",163.63
"421",178.66
"422",165.43
"423",177.93
"424",175.32
"425",171.04
"426",168.95
"427",167.47
"428",168.08
"429",166.58
"430",175.98
"431",167.83
"432",167.32
"433",162.36
"434",175.3
"435",180.9
"436",168.77
"437",169.69
"438",173.12
"439",175.13
"440",173.98
"441",188.36
"442",164.52
"443",166.54
"444",170.03
"445",170.45
"446",167.05
"447",163.7
"448",165.97
"449",166.24
"450",174.4
"451",165.69
"452",166.57
"453",172.93
"454",163.32
"455",170.95
"456",167.7
"457",169.96
"458",171.53
"459",162.84
"460",170.98
"461",164.86
"462",169.3
"463",175.61
"464",174.73
"465",174.77
"466",180.39
"467",185.9
"468",163.31
"469",168.89
"470",172.84
"471",171.53
"472",169.76
"473",174.03
"474",172.53
"475",171.47
"476",172.13
"477",171.83
"478",166.77
"479",172.38
"480",180.1
"481",167.38
"482",173.4
"483",173.04
"484",177.12
"485",170.4
"486",176.14
"487",179.54
"488",174.32
"489",176.22
"490",172.31
"491",169.8
"492",170.28
"493",173.93
"494",179.13
"495",172.57
"496",170.16
"497",161.4
"498",163.51
"499",168.88
"500",171.71
"501",176.43
"502",173.67
"503",174.1
"504",177.45
"505",181.37
"506",174.72
"507",171.65
"508",178.57
"509",171.31
"510",167.73
"511",170.76
"512",171.17
"513",181.59
"514",166.01
"515",163.13
"516",169.43
"517",180.72
"518",170.74
"519",175.13
"520",168.7
"521",172.39
"522",170.52
"523",168.91
"524",165.71
"525",168.84
"526",170.33
"527",172.66
"528",173.57
"529",178.12
"530",174.15
"531",176.6
"532",164.96
"533",180.78
"534",171.91
"535",172.91
"536",164.1
"537",170
"538",184.47
"539",175.58
"540",183.39
"541",174.54
"542",174.73
"543",176.07
"544",165.47
"545",172.51
"546",175.2
"547",182.78
"548",170.89
"549",180.23
"550",164.44
"551",173.14
"552",173.86
"553",179.09
"554",173.41
"555",175.76
"556",165.02
"557",178.41
"558",180.27
"559",177.85
"560",176.73
"561",170.18
"562",158.82
"563",168.51
"564",175.73
"565",179.6
"566",170.92
"567",166.39
"568",168.98
"569",168.73
"570",153.5
"571",171.01
"572",163.52
"573",174.7
"574",171.9
"575",171.74
"576",163.22
"577",167.13
"578",177.12
"579",173.9
"580",177.6
"581",178.46
"582",171.74
"583",169.83
"584",168.76
"585",166.33
"586",176.64
"587",178.22
"588",171.02
"589",171.02
"590",162.27
"591",168.86
"592",176.62
"593",167.89
"594",165.89
"595",167.85
"596",170.96
"597",178.75
"598",164.11
"599",174.67
"600",169.24
"601",167.12
