Pref,Kei,Mitsudo,L_Mitsudo,Korei
北海道,0.32,69,4.234,0.29
青森,0.44,136,4.913,0.3
岩手,0.42,84,4.431,0.3
宮城,0.35,321,5.771,0.26
秋田,0.41,88,4.477,0.34
山形,0.41,120,4.787,0.31
福島,0.37,139,4.934,0.29
茨城,0.33,479,6.172,0.27
栃木,0.32,308,5.73,0.26
群馬,0.36,310,5.737,0.28
埼玉,0.3,1912,7.556,0.25
千葉,0.29,1207,7.096,0.26
東京,0.16,6168,8.727,0.23
神奈川,0.22,3778,8.237,0.24
新潟,0.43,183,5.209,0.3
富山,0.39,251,5.525,0.31
石川,0.37,276,5.62,0.28
福井,0.4,188,5.236,0.29
山梨,0.4,187,5.231,0.28
長野,0.41,155,5.043,0.3
岐阜,0.37,191,5.252,0.28
静岡,0.39,476,6.165,0.28
愛知,0.3,1447,7.277,0.24
三重,0.4,315,5.753,0.28
滋賀,0.42,352,5.864,0.24
京都,0.35,566,6.339,0.28
大阪,0.29,4640,8.442,0.26
兵庫,0.33,659,6.491,0.27
奈良,0.39,370,5.914,0.29
和歌山,0.49,204,5.318,0.31
鳥取,0.47,164,5.1,0.3
島根,0.48,104,4.644,0.32
岡山,0.44,270,5.598,0.29
広島,0.41,336,5.817,0.28
山口,0.44,230,5.438,0.32
徳島,0.44,182,5.204,0.31
香川,0.45,521,6.256,0.3
愛媛,0.48,244,5.497,0.31
高知,0.5,103,4.635,0.33
福岡,0.39,1023,6.93,0.26
佐賀,0.48,341,5.832,0.28
長崎,0.51,333,5.808,0.3
熊本,0.45,241,5.485,0.29
大分,0.45,184,5.215,0.3
宮崎,0.48,143,4.963,0.29
鹿児島,0.48,179,5.187,0.29
沖縄,0.54,629,6.444,0.2
